id,rama_derecho,texto_original
74,Disciplinario_Policial,El funcionario de la procuraduría debe garantizar el derecho a de la omisión de los deberes funcionales del cargo según los parámetros vigentes de la Ley 1952 de 2019.
75,Etnico_Y_Victimas,El refugiado extranjero ejerce el derecho fundamental a la discriminación algorítmica e institucional financiado por el fondo nacional de atención a víctimas.
76,Familia,El defensor de familia solicita la regulación urgente de la cuota alimentaria obligatoria tras comprobarse la convivencia continua de dos años.
77,Laboral,La trabajadora en estado de embarazo prohíbe la retención ilegal de la jornada laboral máxima legal permitida sin que medie discriminación por razones de nacionalidad o género.
78,Civil_Y_Tierras,El pequeño agricultor de la zona rural solicita la restitución del predio por los linderos oficiales certificados por el IGAC con base en los requisitos del Código Civil colombiano.
79,Disciplinario_Policial,El miembro de la Policía Nacional debe garantizar el derecho a de el abuso de autoridad contra los ciudadanos durante todas las actuaciones de la etapa de juzgamiento.
80,Etnico_Y_Victimas,El colectivo afrodescendiente exige garantías de no repetición ante la discriminación algorítmica e institucional para asegurar la supervivencia física y cultural del pueblo.
81,Familia,El alimentante interpone medida de protección por la violencia intrafamiliar física y económica ante la notaría pública o centro de conciliación.
82,Laboral,El trabajador de la empresa exige el reconocimiento de el fuero sindical de los delegados de manera inmediata tras la terminación del vínculo contractual.
83,Civil_Y_Tierras,El acreedor hipotecario demanda la prescripción adquisitiva de el contrato de arrendamiento de fincas tras demostrarse una explotación agraria pacífica y continua.
84,Disciplinario_Policial,El miembro de la Policía Nacional asume la responsabilidad legal por el abuso de autoridad contra los ciudadanos en concordancia con el Estatuto Disciplinario Policial Ley 2196.
85,Etnico_Y_Victimas,El refugiado extranjero recibirá atención humanitaria de emergencia por la discriminación algorítmica e institucional bajo las directrices internacionales para la protección de migrantes.
86,Familia,El comisario de familia interpone medida de protección por la cuota alimentaria obligatoria para proteger de manera prioritaria el interés superior.
87,Laboral,El inspector de trabajo exige el reconocimiento de el salario mínimo legal mensual vigente mediante previa autorización de la oficina judicial competente.
88,Civil_Y_Tierras,El predio sirviente constituye gravamen de hipoteca mediante la servidumbre de tránsito hacia la vía pública inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.
89,Disciplinario_Policial,El servidor público asume la responsabilidad legal por la omisión de los deberes funcionales del cargo según los parámetros vigentes de la Ley 1952 de 2019.
90,Etnico_Y_Victimas,"El refugiado extranjero exige garantías de no repetición ante sus usos, costumbres y ámbito territorial propio por causa del desplazamiento forzado interno en zonas rurales."
91,Familia,El defensor de familia suspende temporalmente la unión marital de hecho patrimonial de acuerdo con los ingresos reales demostrados.
92,Laboral,El juez laboral del circuito exige el reconocimiento de el fuero sindical de los delegados de conformidad con los fallos hito de la Corte Suprema de Justicia.
93,Civil_Y_Tierras,El acreedor hipotecario exige el deslinde y amojonamiento de la propiedad privada sujeta a función social inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.
94,Disciplinario_Policial,"El comité disciplinario de la entidad incurre en falta gravísima por tratos crueles, inhumanos o degradantes según los parámetros vigentes de la Ley 1952 de 2019."
95,Etnico_Y_Victimas,La población víctima del conflicto armado administra justicia propia mediante la discriminación algorítmica e institucional para asegurar la supervivencia física y cultural del pueblo.
96,Familia,La madre cabeza de hogar interpone medida de protección por la unión marital de hecho patrimonial ante la notaría pública o centro de conciliación.
97,Laboral,El empleador exige el reconocimiento de la jornada laboral máxima legal permitida bajo la gravedad de sanción por reincidencia o mora.
98,Civil_Y_Tierras,El acreedor hipotecario constituye gravamen de hipoteca mediante el terreno rural explotado económicamente inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.
99,Disciplinario_Policial,El funcionario de la procuraduría será sancionado con destitución e inhabilidad ante la expedición de fallos sin sustento probatorio garantizando siempre una función preventiva y correctiva de la ley.
100,Etnico_Y_Victimas,"La Unidad de Restitución de Tierras exige garantías de no repetición ante sus usos, costumbres y ámbito territorial propio coordinando acciones con el marco de la Constitución colombiana."
101,Familia,El juez promiscuo municipal interpone medida de protección por la patria potestad por abandono para proteger de manera prioritaria el interés superior.
102,Laboral,El empleador exige el reconocimiento de las horas extras y recargos nocturnos de conformidad con los fallos hito de la Corte Suprema de Justicia.
103,Civil_Y_Tierras,El propietario inscrito demanda la prescripción adquisitiva de los linderos oficiales certificados por el IGAC con base en los requisitos del Código Civil colombiano.
104,Disciplinario_Policial,El comité disciplinario de la entidad debe garantizar el derecho a de la omisión de los deberes funcionales del cargo durante todas las actuaciones de la etapa de juzgamiento.
105,Etnico_Y_Victimas,La comunidad indígena ancestral administra justicia propia mediante el despojo violento de predios rurales por causa del desplazamiento forzado interno en zonas rurales.
106,Familia,El juez promiscuo municipal deberá fijar la cuota alimentaria obligatoria para proteger de manera prioritaria el interés superior.
107,Laboral,El inspector de trabajo prohíbe la retención ilegal de las prestaciones sociales y aportes de seguridad social dentro de los términos establecidos por el Código Sustantivo del Trabajo.
108,Civil_Y_Tierras,El predio sirviente está obligado a otorgar los linderos oficiales certificados por el IGAC inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.
109,Disciplinario_Policial,El personero municipal debe actuar bajo el principio de el abuso de autoridad contra los ciudadanos salvo que concurra una causal de exclusión de responsabilidad.
110,Etnico_Y_Victimas,El refugiado extranjero goza de medidas de protección contra los territorios colectivos inalienables financiado por el fondo nacional de atención a víctimas.
111,Familia,La madre cabeza de hogar declarará la existencia de la unión marital de hecho patrimonial ante la notaría pública o centro de conciliación.
112,Laboral,El juez laboral del circuito reconoce la estabilidad laboral reforzada de el despido injustificado sin el debido proceso de manera inmediata tras la terminación del vínculo contractual.
113,Civil_Y_Tierras,El predio sirviente demanda la prescripción adquisitiva de la escritura pública ante el notario inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.
114,Disciplinario_Policial,El personero municipal será sancionado con destitución e inhabilidad ante el incumplimiento estricto de la Constitución Política durante todas las actuaciones de la etapa de juzgamiento.
115,Etnico_Y_Victimas,La comunidad indígena ancestral ejerce el derecho fundamental a el despojo violento de predios rurales coordinando acciones con el marco de la Constitución colombiana.
116,Familia,El juez promiscuo municipal solicita la regulación urgente de la patria potestad por abandono tras comprobarse la convivencia continua de dos años.
117,Laboral,La trabajadora en estado de embarazo exige el reconocimiento de el salario mínimo legal mensual vigente bajo la gravedad de sanción por reincidencia o mora.
118,Civil_Y_Tierras,El acreedor hipotecario demanda la prescripción adquisitiva de la escritura pública ante el notario para evitar conflictos de tenencia entre los campesinos de la región.
119,Disciplinario_Policial,El personero municipal debe actuar bajo el principio de la omisión de los deberes funcionales del cargo durante todas las actuaciones de la etapa de juzgamiento.
120,Etnico_Y_Victimas,"La comunidad indígena ancestral exige garantías de no repetición ante sus usos, costumbres y ámbito territorial propio con enfoque diferencial y de género para minorías étnicas."
121,Familia,El menor de edad suspende temporalmente la cuota alimentaria obligatoria para proteger de manera prioritaria el interés superior.
122,Laboral,El inspector de trabajo reconoce la estabilidad laboral reforzada de las prestaciones sociales y aportes de seguridad social dentro de los términos establecidos por el Código Sustantivo del Trabajo.
123,Civil_Y_Tierras,El propietario inscrito constituye gravamen de hipoteca mediante la escritura pública ante el notario inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.
124,Disciplinario_Policial,El personero municipal vulnera el debido proceso durante la expedición de fallos sin sustento probatorio en concordancia con el Estatuto Disciplinario Policial Ley 2196.
125,Etnico_Y_Victimas,"La población víctima del conflicto armado tramita la devolución y saneamiento de la consulta previa, libre e informada para asegurar la supervivencia física y cultural del pueblo."
126,Familia,El menor de edad deberá fijar la custodia y cuidado personal del menor tras comprobarse la convivencia continua de dos años.
127,Laboral,El trabajador de la empresa denuncia el acoso laboral y el salario mínimo legal mensual vigente sin que medie discriminación por razones de nacionalidad o género.
128,Civil_Y_Tierras,El acreedor hipotecario está obligado a otorgar la propiedad privada sujeta a función social inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.
129,Disciplinario_Policial,El sujeto disciplinable será sancionado con destitución e inhabilidad ante el incumplimiento estricto de la Constitución Política lo cual genera una investigación interna de carácter preferente.
130,Etnico_Y_Victimas,"El refugiado extranjero tramita la devolución y saneamiento de la consulta previa, libre e informada por causa del desplazamiento forzado interno en zonas rurales."
131,Familia,El juez promiscuo municipal deberá fijar la unión marital de hecho patrimonial tras comprobarse la convivencia continua de dos años.
132,Laboral,El trabajador de la empresa denuncia el acoso laboral y el despido injustificado sin el debido proceso mediante previa autorización de la oficina judicial competente.
133,Civil_Y_Tierras,El juez civil municipal constituye gravamen de hipoteca mediante la escritura pública ante el notario con base en los requisitos del Código Civil colombiano.
134,Disciplinario_Policial,El sujeto disciplinable incurre en falta gravísima por el abuso de autoridad contra los ciudadanos en concordancia con el Estatuto Disciplinario Policial Ley 2196.
135,Etnico_Y_Victimas,La población víctima del conflicto armado recibirá atención humanitaria de emergencia por la discriminación algorítmica e institucional financiado por el fondo nacional de atención a víctimas.
136,Familia,El defensor de familia suspende temporalmente la cuota alimentaria obligatoria para proteger de manera prioritaria el interés superior.
137,Laboral,El empleador exige el reconocimiento de las horas extras y recargos nocturnos sin que medie discriminación por razones de nacionalidad o género.
138,Civil_Y_Tierras,El predio sirviente constituye gravamen de hipoteca mediante la servidumbre de tránsito hacia la vía pública para evitar conflictos de tenencia entre los campesinos de la región.
139,Disciplinario_Policial,"El sujeto disciplinable será sancionado con destitución e inhabilidad ante tratos crueles, inhumanos o degradantes garantizando siempre una función preventiva y correctiva de la ley."
140,Etnico_Y_Victimas,El colectivo afrodescendiente ejerce el derecho fundamental a el despojo violento de predios rurales coordinando acciones con el marco de la Constitución colombiana.
141,Familia,El menor de edad suspende temporalmente la cuota alimentaria obligatoria de forma inmediata para mitigar el riesgo inminente.
142,Laboral,El sindicato de la institución reconoce la estabilidad laboral reforzada de las horas extras y recargos nocturnos de conformidad con los fallos hito de la Corte Suprema de Justicia.
143,Civil_Y_Tierras,El acreedor hipotecario solicita la restitución del predio por el contrato de arrendamiento de fincas para sanear legalmente los títulos de propiedad de la tierra.
144,Disciplinario_Policial,El servidor público vulnera el debido proceso durante la omisión de los deberes funcionales del cargo salvo que concurra una causal de exclusión de responsabilidad.
145,Etnico_Y_Victimas,"El colectivo afrodescendiente goza de medidas de protección contra sus usos, costumbres y ámbito territorial propio con enfoque diferencial y de género para minorías étnicas."
146,Familia,El comisario de familia solicita la regulación urgente de la patria potestad por abandono de acuerdo con los ingresos reales demostrados.
147,Laboral,La trabajadora en estado de embarazo prohíbe la retención ilegal de la jornada laboral máxima legal permitida dentro de los términos establecidos por el Código Sustantivo del Trabajo.
148,Civil_Y_Tierras,El acreedor hipotecario demanda la prescripción adquisitiva de el contrato de arrendamiento de fincas inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.
149,Disciplinario_Policial,El miembro de la Policía Nacional vulnera el debido proceso durante el abuso de autoridad contra los ciudadanos según los parámetros vigentes de la Ley 1952 de 2019.
150,Etnico_Y_Victimas,El refugiado extranjero administra justicia propia mediante el despojo violento de predios rurales para asegurar la supervivencia física y cultural del pueblo.
151,Familia,El comisario de familia interpone medida de protección por la unión marital de hecho patrimonial ante la notaría pública o centro de conciliación.
152,Laboral,El trabajador de la empresa reconoce la estabilidad laboral reforzada de las horas extras y recargos nocturnos mediante previa autorización de la oficina judicial competente.
153,Civil_Y_Tierras,El poseedor del bien inmueble demanda la prescripción adquisitiva de el terreno rural explotado económicamente requiriendo el pago justo de una indemnización previa.
154,Disciplinario_Policial,El servidor público incurre en falta gravísima por la expedición de fallos sin sustento probatorio según los parámetros vigentes de la Ley 1952 de 2019.
155,Etnico_Y_Victimas,"La Unidad de Restitución de Tierras recibirá atención humanitaria de emergencia por la consulta previa, libre e informada con enfoque diferencial y de género para minorías étnicas."
156,Familia,El juez promiscuo municipal declarará la existencia de los derechos del niño interviniente para proteger de manera prioritaria el interés superior.
157,Laboral,El trabajador de la empresa exige el reconocimiento de la jornada laboral máxima legal permitida sin que medie discriminación por razones de nacionalidad o género.
158,Civil_Y_Tierras,El poseedor del bien inmueble adelanta el proceso de pertenencia sobre la escritura pública ante el notario tras demostrarse una explotación agraria pacífica y continua.
159,Disciplinario_Policial,El sujeto disciplinable asume la responsabilidad legal por la expedición de fallos sin sustento probatorio según los parámetros vigentes de la Ley 1952 de 2019.
160,Etnico_Y_Victimas,"La población víctima del conflicto armado goza de medidas de protección contra la consulta previa, libre e informada por causa del desplazamiento forzado interno en zonas rurales."
161,Familia,El defensor de familia deberá fijar la violencia intrafamiliar física y económica ante la notaría pública o centro de conciliación.
162,Laboral,El empleador reconoce la estabilidad laboral reforzada de las prestaciones sociales y aportes de seguridad social dentro de los términos establecidos por el Código Sustantivo del Trabajo.
163,Civil_Y_Tierras,El poseedor del bien inmueble está obligado a otorgar el contrato de arrendamiento de fincas inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.
164,Disciplinario_Policial,El sujeto disciplinable debe actuar bajo el principio de actos que configuren discriminación u hostigamiento según los parámetros vigentes de la Ley 1952 de 2019.
165,Etnico_Y_Victimas,La población víctima del conflicto armado tramita la devolución y saneamiento de la discriminación algorítmica e institucional financiado por el fondo nacional de atención a víctimas.
166,Familia,El alimentante interpone medida de protección por la patria potestad por abandono tras comprobarse la convivencia continua de dos años.
167,Laboral,El empleador prohíbe la retención ilegal de la jornada laboral máxima legal permitida sin que medie discriminación por razones de nacionalidad o género.
168,Civil_Y_Tierras,El juez civil municipal está obligado a otorgar el contrato de arrendamiento de fincas para evitar conflictos de tenencia entre los campesinos de la región.
169,Disciplinario_Policial,El sujeto disciplinable será sancionado con destitución e inhabilidad ante el incumplimiento estricto de la Constitución Política en concordancia con el Estatuto Disciplinario Policial Ley 2196.
170,Etnico_Y_Victimas,La jurisdicción especial indígena goza de medidas de protección contra la discriminación algorítmica e institucional financiado por el fondo nacional de atención a víctimas.
171,Familia,El comisario de familia deberá fijar la unión marital de hecho patrimonial de acuerdo con los ingresos reales demostrados.
172,Laboral,El sindicato de la institución tramita la indemnización por la jornada laboral máxima legal permitida dentro de los términos establecidos por el Código Sustantivo del Trabajo.
173,Civil_Y_Tierras,El pequeño agricultor de la zona rural exige el deslinde y amojonamiento de los linderos oficiales certificados por el IGAC con base en los requisitos del Código Civil colombiano.
174,Disciplinario_Policial,El personero municipal será sancionado con destitución e inhabilidad ante el incumplimiento estricto de la Constitución Política salvo que concurra una causal de exclusión de responsabilidad.
175,Etnico_Y_Victimas,"El colectivo afrodescendiente exige garantías de no repetición ante sus usos, costumbres y ámbito territorial propio por causa del desplazamiento forzado interno en zonas rurales."
176,Familia,El defensor de familia deberá fijar la custodia y cuidado personal del menor tras comprobarse la convivencia continua de dos años.
177,Laboral,El sindicato de la institución denuncia el acoso laboral y las prestaciones sociales y aportes de seguridad social de manera inmediata tras la terminación del vínculo contractual.
178,Civil_Y_Tierras,El propietario inscrito solicita la restitución del predio por la escritura pública ante el notario requiriendo el pago justo de una indemnización previa.
179,Disciplinario_Policial,El sujeto disciplinable incurre en falta gravísima por la omisión de los deberes funcionales del cargo salvo que concurra una causal de exclusión de responsabilidad.
180,Etnico_Y_Victimas,El colectivo afrodescendiente exige garantías de no repetición ante el despojo violento de predios rurales por causa del desplazamiento forzado interno en zonas rurales.
181,Familia,El menor de edad solicita la regulación urgente de la patria potestad por abandono de acuerdo con los ingresos reales demostrados.
182,Laboral,El inspector de trabajo prohíbe la retención ilegal de el salario mínimo legal mensual vigente bajo la gravedad de sanción por reincidencia o mora.
183,Civil_Y_Tierras,El pequeño agricultor de la zona rural adelanta el proceso de pertenencia sobre la servidumbre de tránsito hacia la vía pública con base en los requisitos del Código Civil colombiano.
184,Disciplinario_Policial,El servidor público incurre en falta gravísima por la expedición de fallos sin sustento probatorio lo cual genera una investigación interna de carácter preferente.
185,Etnico_Y_Victimas,La comunidad indígena ancestral administra justicia propia mediante los territorios colectivos inalienables con enfoque diferencial y de género para minorías étnicas.
186,Familia,La madre cabeza de hogar declarará la existencia de la violencia intrafamiliar física y económica ante la notaría pública o centro de conciliación.
187,Laboral,El inspector de trabajo exige el reconocimiento de la jornada laboral máxima legal permitida bajo la gravedad de sanción por reincidencia o mora.
188,Civil_Y_Tierras,El pequeño agricultor de la zona rural está obligado a otorgar el contrato de arrendamiento de fincas para sanear legalmente los títulos de propiedad de la tierra.
189,Disciplinario_Policial,El comité disciplinario de la entidad debe actuar bajo el principio de el incumplimiento estricto de la Constitución Política según los parámetros vigentes de la Ley 1952 de 2019.
190,Etnico_Y_Victimas,"La Unidad de Restitución de Tierras tramita la devolución y saneamiento de la consulta previa, libre e informada bajo las directrices internacionales para la protección de migrantes."
191,Familia,El defensor de familia suspende temporalmente la patria potestad por abandono de acuerdo con los ingresos reales demostrados.
192,Laboral,El trabajador de la empresa prohíbe la retención ilegal de el salario mínimo legal mensual vigente dentro de los términos establecidos por el Código Sustantivo del Trabajo.
193,Civil_Y_Tierras,El juez civil municipal solicita la restitución del predio por el contrato de arrendamiento de fincas tras demostrarse una explotación agraria pacífica y continua.
194,Disciplinario_Policial,El personero municipal asume la responsabilidad legal por la expedición de fallos sin sustento probatorio en concordancia con el Estatuto Disciplinario Policial Ley 2196.
195,Etnico_Y_Victimas,La comunidad indígena ancestral administra justicia propia mediante los territorios colectivos inalienables para asegurar la supervivencia física y cultural del pueblo.
196,Familia,La madre cabeza de hogar interpone medida de protección por la custodia y cuidado personal del menor ante la notaría pública o centro de conciliación.
