id,rama_derecho,texto_original,texto_limpieza_base,texto_limpio_lematizado
39,Disciplinario_Policial,El funcionario de la procuraduría será sancionado con destitución e inhabilidad ante la expedición de fallos sin sustento probatorio lo cual genera una investigación interna de carácter preferente.,el funcionario de la procuraduria sera sancionado con destitucion e inhabilidad ante la expedicion de fallos sin sustento probatorio lo cual genera una investigacion interna de caracter preferente,funcionario procuraduria sancionado destitucion inhabilidad expedicion fallo sustento probatorio generar investigacion interno caracter preferente
40,Etnico_Y_Victimas,"El refugiado extranjero exige garantías de no repetición ante la consulta previa, libre e informada financiado por el fondo nacional de atención a víctimas.",el refugiado extranjero exige garantias de no repeticion ante la consulta previa libre e informada financiado por el fondo nacional de atencion a victimas,refugiado extranjero exigir garantia no repeticion consulta previo libre informado financiado fondo nacional atencion victima
41,Familia,La madre cabeza de hogar declarará la existencia de los derechos del niño interviniente tras comprobarse la convivencia continua de dos años.,la madre cabeza de hogar declarara la existencia de los derechos del niño interviniente tras comprobarse la convivencia continua de dos años,madre cabeza hogar declarar existencia derecho niño interviniente comprobar él convivencia continuo año
42,Laboral,El sindicato de la institución está obligado a pagar el salario mínimo legal mensual vigente bajo la gravedad de sanción por reincidencia o mora.,el sindicato de la institucion esta obligado a pagar el salario minimo legal mensual vigente bajo la gravedad de sancion por reincidencia o mora,sindicato institucion obligado pagar salario minimo legal mensual vigente gravedad sancion reincidencia mora
43,Civil_Y_Tierras,El predio sirviente está obligado a otorgar la escritura pública ante el notario con base en los requisitos del Código Civil colombiano.,el predio sirviente esta obligado a otorgar la escritura publica ante el notario con base en los requisitos del codigo civil colombiano,predio sirviente obligado otorgar escritura publicar notario base requisito codigo civil colombiano
44,Disciplinario_Policial,El comité disciplinario de la entidad será sancionado con destitución e inhabilidad ante el incumplimiento estricto de la Constitución Política salvo que concurra una causal de exclusión de responsabilidad.,el comite disciplinario de la entidad sera sancionado con destitucion e inhabilidad ante el incumplimiento estricto de la constitucion politica salvo que concurra una causal de exclusion de responsabilidad,comite disciplinario entidad sancionado destitucion inhabilidad incumplimiento estricto constitucion politico concurrar causal exclusion responsabilidad
45,Etnico_Y_Victimas,La población víctima del conflicto armado administra justicia propia mediante el despojo violento de predios rurales coordinando acciones con el marco de la Constitución colombiana.,la poblacion victima del conflicto armado administra justicia propia mediante el despojo violento de predios rurales coordinando acciones con el marco de la constitucion colombiana,poblacion victimo conflicto armado administra justicia despojo violento predio rural coordinar acción marco constitucion colombiano
46,Familia,El menor de edad solicita la regulación urgente de los derechos del niño interviniente con base en el Código de la Infancia y la Adolescencia colombiana.,el menor de edad solicita la regulacion urgente de los derechos del niño interviniente con base en el codigo de la infancia y la adolescencia colombiana,menor edad solicitar regulacion urgente derecho niño interviniente base codigo infancia adolescencia colombiano
47,Laboral,El empleador tramita la indemnización por el salario mínimo legal mensual vigente de conformidad con los fallos hito de la Corte Suprema de Justicia.,el empleador tramita la indemnizacion por el salario minimo legal mensual vigente de conformidad con los fallos hito de la corte suprema de justicia,empleador tramito indemnizacion salario minimo legal mensual vigente conformidad fallo hito corte supremo justicia
48,Civil_Y_Tierras,El poseedor del bien inmueble exige el deslinde y amojonamiento de la propiedad privada sujeta a función social requiriendo el pago justo de una indemnización previa.,el poseedor del bien inmueble exige el deslinde y amojonamiento de la propiedad privada sujeta a funcion social requiriendo el pago justo de una indemnizacion previa,poseedor inmueble exigir deslinde amojonamiento propiedad privado sujeto funcion social requerir pago justo indemnizacion previo
49,Disciplinario_Policial,El comité disciplinario de la entidad vulnera el debido proceso durante actos que configuren discriminación u hostigamiento según los parámetros vigentes de la Ley 1952 de 2019.,el comite disciplinario de la entidad vulnera el debido proceso durante actos que configuren discriminacion u hostigamiento segun los parametros vigentes de la ley de,comite disciplinario entidad vulnerar proceso acto configurir discriminacion hostigamiento parametro vigente ley
50,Etnico_Y_Victimas,La jurisdicción especial indígena ejerce el derecho fundamental a la discriminación algorítmica e institucional coordinando acciones con el marco de la Constitución colombiana.,la jurisdiccion especial indigena ejerce el derecho fundamental a la discriminacion algoritmica e institucional coordinando acciones con el marco de la constitucion colombiana,jurisdiccion especial indigena ejercer derecho fundamental discriminacion algoritmico institucional coordinar acción marco constitucion colombiano
51,Familia,El defensor de familia exige la restitución de la cuota alimentaria obligatoria tras comprobarse la convivencia continua de dos años.,el defensor de familia exige la restitucion de la cuota alimentaria obligatoria tras comprobarse la convivencia continua de dos años,defensor familia exigir restitucion cuota alimentario obligatorio comprobar él convivencia continuo año
52,Laboral,El empleador está obligado a pagar las horas extras y recargos nocturnos de manera inmediata tras la terminación del vínculo contractual.,el empleador esta obligado a pagar las horas extras y recargos nocturnos de manera inmediata tras la terminacion del vinculo contractual,empleador obligado pagar hora extra recargo nocturno inmediato terminacion vinculo contractual
53,Civil_Y_Tierras,El pequeño agricultor de la zona rural constituye gravamen de hipoteca mediante el terreno rural explotado económicamente tras demostrarse una explotación agraria pacífica y continua.,el pequeño agricultor de la zona rural constituye gravamen de hipoteca mediante el terreno rural explotado economicamente tras demostrarse una explotacion agraria pacifica y continua,pequeño agricultor zona rural constituir gravamen hipoteca terreno rural explotado economicamente demostrar él explotacion agrario pacifico continuo
54,Disciplinario_Policial,El personero municipal incurre en falta gravísima por el incumplimiento estricto de la Constitución Política en concordancia con el Estatuto Disciplinario Policial Ley 2196.,el personero municipal incurre en falta gravisima por el incumplimiento estricto de la constitucion politica en concordancia con el estatuto disciplinario policial ley,personero municipal incurrir falta gravisimo incumplimiento estricto constitucion politico concordancia estatuto disciplinario policial ley
55,Etnico_Y_Victimas,El refugiado extranjero tramita la devolución y saneamiento de la discriminación algorítmica e institucional bajo las directrices internacionales para la protección de migrantes.,el refugiado extranjero tramita la devolucion y saneamiento de la discriminacion algoritmica e institucional bajo las directrices internacionales para la proteccion de migrantes,refugiado extranjero tramito devolucion saneamiento discriminacion algoritmico institucional directriz internacional proteccion migrant
56,Familia,El juez promiscuo municipal suspende temporalmente la cuota alimentaria obligatoria con base en el Código de la Infancia y la Adolescencia colombiana.,el juez promiscuo municipal suspende temporalmente la cuota alimentaria obligatoria con base en el codigo de la infancia y la adolescencia colombiana,juez promiscuo municipal suspender temporalmente cuota alimentario obligatorio base codigo infancia adolescencia colombiano
57,Laboral,El sindicato de la institución prohíbe la retención ilegal de las prestaciones sociales y aportes de seguridad social mediante previa autorización de la oficina judicial competente.,el sindicato de la institucion prohibe la retencion ilegal de las prestaciones sociales y aportes de seguridad social mediante previa autorizacion de la oficina judicial competente,sindicato institucion prohibir retencion ilegal prestación social aporte seguridad social previo autorizacion oficina judicial competente
58,Civil_Y_Tierras,El poseedor del bien inmueble está obligado a otorgar la servidumbre de tránsito hacia la vía pública para evitar conflictos de tenencia entre los campesinos de la región.,el poseedor del bien inmueble esta obligado a otorgar la servidumbre de transito hacia la via publica para evitar conflictos de tenencia entre los campesinos de la region,poseedor inmueble obligado otorgar servidumbre transito via publicar evitar conflicto tenencia campesino region
59,Disciplinario_Policial,El miembro de la Policía Nacional incurre en falta gravísima por la expedición de fallos sin sustento probatorio durante todas las actuaciones de la etapa de juzgamiento.,el miembro de la policia nacional incurre en falta gravisima por la expedicion de fallos sin sustento probatorio durante todas las actuaciones de la etapa de juzgamiento,miembro policia nacional incurrir falta gravisimo expedicion fallo sustento probatorio actuación etapa juzgamiento
60,Etnico_Y_Victimas,La jurisdicción especial indígena goza de medidas de protección contra el despojo violento de predios rurales con enfoque diferencial y de género para minorías étnicas.,la jurisdiccion especial indigena goza de medidas de proteccion contra el despojo violento de predios rurales con enfoque diferencial y de genero para minorias etnicas,jurisdiccion especial indigenar gozar medida proteccion despojo violento predio rural enfoque diferencial genero minoria etnica
61,Familia,El alimentante deberá fijar la patria potestad por abandono con base en el Código de la Infancia y la Adolescencia colombiana.,el alimentante debera fijar la patria potestad por abandono con base en el codigo de la infancia y la adolescencia colombiana,alimentante deberar fijar patria potestad abandono base codigo infancia adolescencia colombiano
62,Laboral,El empleador reconoce la estabilidad laboral reforzada de el despido injustificado sin el debido proceso de conformidad con los fallos hito de la Corte Suprema de Justicia.,el empleador reconoce la estabilidad laboral reforzada de el despido injustificado sin el debido proceso de conformidad con los fallos hito de la corte suprema de justicia,empleador reconocer estabilidad laboral reforzado despido injustificado proceso conformidad fallo hito corte supremo justicia
63,Civil_Y_Tierras,El predio sirviente solicita la restitución del predio por el contrato de arrendamiento de fincas tras demostrarse una explotación agraria pacífica y continua.,el predio sirviente solicita la restitucion del predio por el contrato de arrendamiento de fincas tras demostrarse una explotacion agraria pacifica y continua,predio sirviente solicitar restitucion predio contrato arrendamiento finca demostrar él explotacion agrario pacifico continuo
64,Disciplinario_Policial,El funcionario de la procuraduría debe garantizar el derecho a de la expedición de fallos sin sustento probatorio durante todas las actuaciones de la etapa de juzgamiento.,el funcionario de la procuraduria debe garantizar el derecho a de la expedicion de fallos sin sustento probatorio durante todas las actuaciones de la etapa de juzgamiento,funcionario procuraduria garantizar derecho expedicion fallo sustento probatorio actuación etapa juzgamiento
65,Etnico_Y_Victimas,El colectivo afrodescendiente exige garantías de no repetición ante el despojo violento de predios rurales con enfoque diferencial y de género para minorías étnicas.,el colectivo afrodescendiente exige garantias de no repeticion ante el despojo violento de predios rurales con enfoque diferencial y de genero para minorias etnicas,colectivo afrodescendiente exigir garantia no repeticion despojo violento predio rural enfoque diferencial genero minoria etnica
66,Familia,El alimentante deberá fijar la unión marital de hecho patrimonial de forma inmediata para mitigar el riesgo inminente.,el alimentante debera fijar la union marital de hecho patrimonial de forma inmediata para mitigar el riesgo inminente,alimentante deberar fijar union marital patrimonial forma inmediato mitigar riesgo inminente
67,Laboral,El empleador prohíbe la retención ilegal de la jornada laboral máxima legal permitida bajo la gravedad de sanción por reincidencia o mora.,el empleador prohibe la retencion ilegal de la jornada laboral maxima legal permitida bajo la gravedad de sancion por reincidencia o mora,empleador prohibir retencion ilegal jornada laboral maximar legal permitido gravedad sancion reincidencia mora
68,Civil_Y_Tierras,El acreedor hipotecario está obligado a otorgar el contrato de arrendamiento de fincas para evitar conflictos de tenencia entre los campesinos de la región.,el acreedor hipotecario esta obligado a otorgar el contrato de arrendamiento de fincas para evitar conflictos de tenencia entre los campesinos de la region,acreedor hipotecario obligado otorgar contrato arrendamiento finca evitar conflicto tenencia campesino region
69,Disciplinario_Policial,El servidor público asume la responsabilidad legal por el abuso de autoridad contra los ciudadanos salvo que concurra una causal de exclusión de responsabilidad.,el servidor publico asume la responsabilidad legal por el abuso de autoridad contra los ciudadanos salvo que concurra una causal de exclusion de responsabilidad,servidor publico asumir responsabilidad legal abuso autoridad ciudadano concurrar causal exclusion responsabilidad
70,Etnico_Y_Victimas,La Unidad de Restitución de Tierras exige garantías de no repetición ante la discriminación algorítmica e institucional bajo las directrices internacionales para la protección de migrantes.,la unidad de restitucion de tierras exige garantias de no repeticion ante la discriminacion algoritmica e institucional bajo las directrices internacionales para la proteccion de migrantes,unidad restitucion tierra exigir garantia no repeticion discriminacion algoritmico institucional directriz internacional proteccion migrant
71,Familia,El defensor de familia suspende temporalmente la unión marital de hecho patrimonial de acuerdo con los ingresos reales demostrados.,el defensor de familia suspende temporalmente la union marital de hecho patrimonial de acuerdo con los ingresos reales demostrados,defensor familia suspender temporalmente union marital patrimonial ingreso real demostrado
72,Laboral,El juez laboral del circuito prohíbe la retención ilegal de la jornada laboral máxima legal permitida de manera inmediata tras la terminación del vínculo contractual.,el juez laboral del circuito prohibe la retencion ilegal de la jornada laboral maxima legal permitida de manera inmediata tras la terminacion del vinculo contractual,juez laboral circuito prohibir retencion ilegal jornada laboral maximar legal permitido inmediato terminacion vinculo contractual
73,Civil_Y_Tierras,El juez civil municipal adelanta el proceso de pertenencia sobre los linderos oficiales certificados por el IGAC requiriendo el pago justo de una indemnización previa.,el juez civil municipal adelanta el proceso de pertenencia sobre los linderos oficiales certificados por el igac requiriendo el pago justo de una indemnizacion previa,juez civil municipal adelantar proceso pertenencia lindero oficial certificado igac requerir pago justo indemnizacion previo
74,Disciplinario_Policial,El sujeto disciplinable vulnera el debido proceso durante la omisión de los deberes funcionales del cargo durante todas las actuaciones de la etapa de juzgamiento.,el sujeto disciplinable vulnera el debido proceso durante la omision de los deberes funcionales del cargo durante todas las actuaciones de la etapa de juzgamiento,sujeto disciplinable vulnerar proceso omision deber funcional cargo actuación etapa juzgamiento
75,Etnico_Y_Victimas,La jurisdicción especial indígena ejerce el derecho fundamental a el despojo violento de predios rurales por causa del desplazamiento forzado interno en zonas rurales.,la jurisdiccion especial indigena ejerce el derecho fundamental a el despojo violento de predios rurales por causa del desplazamiento forzado interno en zonas rurales,jurisdiccion especial indigena ejercer derecho fundamental despojo violento predio rural causa desplazamiento forzado interno zona rural
76,Familia,La madre cabeza de hogar interpone medida de protección por los derechos del niño interviniente tras comprobarse la convivencia continua de dos años.,la madre cabeza de hogar interpone medida de proteccion por los derechos del niño interviniente tras comprobarse la convivencia continua de dos años,madre cabeza hogar interponer medida proteccion derecho niño interviniente comprobar él convivencia continuo año
77,Laboral,El inspector de trabajo tramita la indemnización por las horas extras y recargos nocturnos dentro de los términos establecidos por el Código Sustantivo del Trabajo.,el inspector de trabajo tramita la indemnizacion por las horas extras y recargos nocturnos dentro de los terminos establecidos por el codigo sustantivo del trabajo,inspector trabajo tramito indemnizacion hora extra recargo nocturno termino establecido codigo sustantivo trabajo
78,Civil_Y_Tierras,El juez civil municipal adelanta el proceso de pertenencia sobre la propiedad privada sujeta a función social para sanear legalmente los títulos de propiedad de la tierra.,el juez civil municipal adelanta el proceso de pertenencia sobre la propiedad privada sujeta a funcion social para sanear legalmente los titulos de propiedad de la tierra,juez civil municipal adelantar proceso pertenencia propiedad privado sujeto funcion social sanear legalmente titulo propiedad tierra
79,Disciplinario_Policial,El funcionario de la procuraduría incurre en falta gravísima por la omisión de los deberes funcionales del cargo en concordancia con el Estatuto Disciplinario Policial Ley 2196.,el funcionario de la procuraduria incurre en falta gravisima por la omision de los deberes funcionales del cargo en concordancia con el estatuto disciplinario policial ley,funcionario procuraduria incurrir falta gravisimo omision deber funcional cargo concordancia estatuto disciplinario policial ley
